WP_006195022.1	45	250	52	4.8077
WP_011242314.1	170	844	211	4.0000
WP_011242315.1	342	1742	431	4.0418
WP_011242317.1	151	742	203	3.6552
WP_011242318.1	465	2293	645	3.5550
WP_011242319.1	439	2181	595	3.6655
WP_011242320.1	186	912	264	3.4545
WP_011242321.1	418	2079	586	3.5478
WP_011242322.1	254	1316	331	3.9758
WP_011242323.1	330	1607	430	3.7372
WP_011242324.1	297	1454	412	3.5291
WP_011242325.1	197	964	267	3.6105
WP_011242326.1	280	1376	383	3.5927
WP_011242330.1	224	1095	329	3.3283
WP_011242334.1	138	731	175	4.1771
WP_011242335.1	105	520	138	3.7681
WP_011242337.1	731	3717	1043	3.5638
WP_011242338.1	79	377	106	3.5566
WP_011242339.1	172	860	230	3.7391
WP_011242340.1	747	3582	979	3.6588
WP_011242341.1	269	1433	348	4.1178
WP_011242342.1	528	2635	720	3.6597
WP_011242343.1	266	1296	349	3.7135
WP_011242344.1	890	4650	1235	3.7652
WP_011242345.1	681	3406	933	3.6506
WP_011242346.1	463	2273	574	3.9599
WP_011242347.1	584	2918	806	3.6203
WP_011242348.1	279	1429	345	4.1420
WP_011242351.1	559	2926	796	3.6759
WP_011242354.1	492	2515	692	3.6344
WP_011242356.1	436	2159	601	3.5923
WP_011242358.1	859	4110	1139	3.6084
WP_011242359.1	429	2038	573	3.5567
WP_011242360.1	285	1439	384	3.7474
WP_011242361.1	295	1421	395	3.5975
WP_011242362.1	271	1360	361	3.7673
WP_011242364.1	341	1681	456	3.6864
WP_011242365.1	327	1590	456	3.4868
WP_011242366.1	245	1136	314	3.6178
WP_011242367.1	213	1043	294	3.5476
WP_011242368.1	264	1285	358	3.5894
WP_011242369.1	361	1688	499	3.3828
WP_011242370.1	280	1426	396	3.6010
WP_011242371.1	57	296	99	2.9899
WP_011242374.1	450	2201	638	3.4498
WP_011242375.1	192	1030	276	3.7319
WP_011242376.1	186	882	228	3.8684
WP_011242379.1	1148	5721	1614	3.5446
WP_011242381.1	97	478	115	4.1565
WP_011242382.1	408	1887	533	3.5403
WP_011242384.1	45	221	90	2.4556
WP_011242385.1	122	634	207	3.0628
WP_011242386.1	128	650	181	3.5912
WP_011242387.1	392	1928	506	3.8103
WP_011242388.1	168	825	244	3.3811
WP_011242391.1	501	2495	717	3.4798
WP_011242392.1	522	2748	729	3.7695
WP_011242393.1	823	4065	1183	3.4362
WP_011242394.1	230	1131	286	3.9545
WP_011242395.1	219	1040	286	3.6364
WP_011242396.1	407	2078	579	3.5889
WP_011242397.1	160	743	202	3.6782
WP_011242399.1	321	1561	445	3.5079
WP_011242400.1	239	1317	329	4.0030
WP_011242401.1	213	1069	307	3.4821
WP_011242402.1	111	506	139	3.6403
WP_011242403.1	299	1469	424	3.4646
WP_011242404.1	169	830	239	3.4728
WP_011242405.1	240	1247	347	3.5937
WP_011242406.1	179	963	261	3.6897
WP_011242408.1	356	1701	489	3.4785
WP_011242410.1	85	427	128	3.3359
WP_011242411.1	206	987	273	3.6154
WP_011242412.1	188	963	266	3.6203
WP_011242413.1	225	1120	331	3.3837
WP_011242414.1	293	1353	365	3.7068
WP_011242415.1	335	1561	435	3.5885
WP_011242416.1	346	1620	483	3.3540
WP_011242418.1	478	2257	648	3.4830
WP_011242419.1	153	737	199	3.7035
WP_011242420.1	266	1320	378	3.4921
WP_011242421.1	355	1657	482	3.4378
WP_011242422.1	320	1563	424	3.6863
WP_011242423.1	272	1354	373	3.6300
WP_011242425.1	371	1816	497	3.6539
WP_011242426.1	357	1735	477	3.6373
WP_011242427.1	144	747	200	3.7350
WP_011242428.1	325	1594	422	3.7773
WP_011242429.1	306	1445	400	3.6125
WP_011242430.1	533	2754	642	4.2897
WP_011242431.1	164	833	237	3.5148
WP_011242433.1	92	445	142	3.1338
WP_011242434.1	148	805	228	3.5307
WP_011242435.1	582	2863	790	3.6241
WP_011242436.1	199	898	256	3.5078
WP_011242437.1	352	1712	469	3.6503
WP_011242438.1	561	2749	778	3.5334
WP_011242439.1	145	690	196	3.5204
WP_011242440.1	285	1430	428	3.3411
WP_011242441.1	136	646	182	3.5495
WP_011242442.1	395	1900	527	3.6053
WP_011242444.1	472	2377	646	3.6796
WP_011242445.1	276	1295	357	3.6275
WP_011242446.1	161	720	200	3.6000
WP_011242447.1	539	2530	756	3.3466
WP_011242448.1	99	485	140	3.4643
WP_011242449.1	102	486	135	3.6000
WP_011242450.1	466	2315	621	3.7279
WP_011242451.1	286	1416	360	3.9333
WP_011242452.1	327	1563	444	3.5203
WP_011242453.1	883	4389	1242	3.5338
WP_011242454.1	521	2572	607	4.2372
WP_011242455.1	241	1164	338	3.4438
WP_011242456.1	251	1230	307	4.0065
WP_011242457.1	149	712	178	4.0000
WP_011242458.1	235	1169	325	3.5969
WP_011242459.1	540	2582	731	3.5321
WP_011242460.1	340	1647	457	3.6039
WP_011242461.1	211	1107	291	3.8041
WP_011242462.1	543	2748	696	3.9483
WP_011242463.1	368	1771	513	3.4522
WP_011242464.1	175	873	244	3.5779
WP_011242465.1	229	1144	336	3.4048
WP_011242467.1	419	2194	601	3.6506
WP_011242468.1	125	644	163	3.9509
WP_011242469.1	373	1898	536	3.5410
WP_011242471.1	740	4014	1022	3.9276
WP_011242473.1	85	435	122	3.5656
WP_011242474.1	139	672	198	3.3939
WP_011242475.1	587	3027	820	3.6915
WP_011242476.1	304	1541	432	3.5671
WP_011242477.1	1355	6384	1702	3.7509
WP_011242478.1	512	2447	721	3.3939
WP_011242480.1	360	1830	462	3.9610
WP_011242481.1	237	1199	363	3.3030
WP_011242482.1	275	1323	385	3.4364
WP_011242483.1	377	1855	534	3.4738
WP_011242486.1	170	866	216	4.0093
WP_011242490.1	574	2907	737	3.9444
WP_011242491.1	453	2213	622	3.5579
WP_011242492.1	413	2063	556	3.7104
WP_011242493.1	764	3820	1103	3.4633
WP_011242495.1	173	820	233	3.5193
WP_011242496.1	543	2735	815	3.3558
WP_011242497.1	231	1112	276	4.0290
WP_011242498.1	1190	5910	1568	3.7691
WP_011242499.1	440	2296	649	3.5378
WP_011242501.1	111	563	157	3.5860
WP_011242502.1	455	2296	652	3.5215
WP_011242503.1	303	1558	392	3.9745
WP_011242505.1	138	739	203	3.6404
WP_011242506.1	161	818	254	3.2205
WP_011242507.1	167	814	224	3.6339
WP_011242508.1	436	2154	594	3.6263
WP_011242509.1	401	2033	561	3.6239
WP_011242510.1	263	1346	367	3.6676
WP_011242513.1	151	766	203	3.7734
WP_011242514.1	929	4735	1293	3.6620
WP_011242515.1	498	2409	628	3.8360
WP_011242516.1	222	1160	293	3.9590
WP_011242517.1	656	3265	889	3.6727
WP_011242519.1	228	1178	330	3.5697
WP_011242520.1	331	1620	447	3.6242
WP_011242521.1	103	526	130	4.0462
WP_011242522.1	201	1014	239	4.2427
WP_011242523.1	202	1053	278	3.7878
WP_011242524.1	372	1911	444	4.3041
WP_011242525.1	363	1873	507	3.6943
WP_011242527.1	192	947	271	3.4945
WP_011242528.1	64	281	70	4.0143
WP_011242533.1	264	1332	379	3.5145
WP_011242534.1	465	2326	661	3.5189
WP_011242535.1	231	1077	299	3.6020
WP_011242536.1	206	1019	277	3.6787
WP_011242537.1	58	302	79	3.8228
WP_011242539.1	208	1012	268	3.7761
WP_011242540.1	130	653	177	3.6893
WP_011242541.1	1153	5771	1624	3.5536
WP_011242543.1	919	4582	1272	3.6022
WP_011242545.1	75	368	101	3.6436
WP_011242546.1	339	1665	478	3.4833
WP_011242547.1	318	1665	509	3.2711
WP_011242548.1	179	875	262	3.3397
WP_011242549.1	283	1413	338	4.1805
WP_011242550.1	245	1233	374	3.2968
WP_011242551.1	345	1614	462	3.4935
WP_011242552.1	466	2293	652	3.5169
WP_011242554.1	599	3047	857	3.5554
WP_011242557.1	323	1623	439	3.6970
WP_011242558.1	310	1489	437	3.4073
WP_011242559.1	337	1679	463	3.6263
WP_011242560.1	271	1361	323	4.2136
WP_011242561.1	186	891	258	3.4535
WP_011242562.1	536	2616	758	3.4512
WP_011242564.1	132	670	176	3.8068
WP_011242566.1	473	2390	718	3.3287
WP_011242567.1	189	965	263	3.6692
WP_011242568.1	320	1576	439	3.5900
WP_011242569.1	576	2918	809	3.6069
WP_011242570.1	469	2178	598	3.6421
WP_011242571.1	231	1170	316	3.7025
WP_011242572.1	462	2342	675	3.4696
WP_011242574.1	811	4003	1126	3.5551
WP_011242575.1	694	3507	1019	3.4416
WP_011242576.1	122	596	177	3.3672
WP_011242577.1	56	234	71	3.2958
WP_011242578.1	446	2104	583	3.6089
WP_011242579.1	168	829	215	3.8558
WP_011242580.1	610	2652	702	3.7778
WP_011242582.1	323	1482	419	3.5370
WP_011242583.1	90	414	103	4.0194
WP_011242584.1	165	819	244	3.3566
WP_011242585.1	327	1644	475	3.4611
WP_011242586.1	230	1133	315	3.5968
WP_011242587.1	364	1785	511	3.4932
WP_011242588.1	66	354	117	3.0256
WP_011242589.1	116	599	202	2.9653
WP_011242590.1	260	1310	388	3.3763
WP_011242591.1	387	1855	498	3.7249
WP_011242592.1	175	900	243	3.7037
WP_011242593.1	511	2428	683	3.5549
WP_011242594.1	175	893	253	3.5296
WP_011242595.1	245	1288	349	3.6905
WP_011242596.1	465	2278	606	3.7591
WP_011242597.1	484	2320	639	3.6307
WP_011242598.1	259	1282	369	3.4743
WP_011242600.1	237	1124	310	3.6258
WP_011242603.1	539	2663	747	3.5649
WP_011242605.1	275	1329	408	3.2574
WP_011242606.1	392	2000	521	3.8388
WP_011242607.1	137	749	212	3.5330
WP_011242608.1	615	2946	765	3.8510
WP_011242609.1	184	943	246	3.8333
WP_011242610.1	387	1885	530	3.5566
WP_011242611.1	131	639	184	3.4728
WP_011242612.1	425	2146	593	3.6189
WP_011242613.1	349	1614	455	3.5473
WP_011242614.1	159	793	205	3.8683
WP_011242615.1	44	243	55	4.4182
WP_011242617.1	79	393	108	3.6389
WP_011242618.1	504	2547	687	3.7074
WP_011242621.1	231	1108	322	3.4410
WP_011242622.1	309	1548	445	3.4787
