country	total_foreign_born	percent_global	percent_country
Guinea-Bissau	18024	0.1	1.1
Mongolia	17225	0.1	0.6
Cuba	13336	0.1	0.1
Eritrea	15798	0.1	0.2
Cape Verde	14874	0.1	3
Guyana	14770	0.1	1.7
Caribbean Netherlands	12613	0.1	65.9
Comoros	12511	0.1	1.7
Liechtenstein	23493	0.1	33.1
Saint Lucia	12180	0.1	6.7
Seychelles	12079	0.1	13
Timor-Leste	11565	0.1	1
Grenada	7057	0.1	10.7
Turks and Caicos Islands	11356	0.1	24.8
Saint Vincent and the Grenadines	10260	0.1	9.4
Equatorial Guinea	10141	0.1	1.3
Gibraltar	11065	0.1	33
British Virgin Islands	17308	0.1	32.3
SolomonIslands	2585	0.1	1.4
Anguilla	5470	0.1	45.6
Dominica	6720	0.1	8.9
Sao Tome and Principe	6345	0.1	3.3
Greenland	6009	0.1	10.4
Saint Kitts and Nevis	5673	0.1	10.5
Samoa	4929	0.1	3
Palau	5664	0.1	27.8
Tonga	5731	0.1	4.8
Western Sahara	4932	0.1	0.9
SanMarino	4717	0.1	15.4
Faroe Islands	5517	0.1	7.4
Cook Islands	4152	0.1	15.4
Vanuatu	3187	0.1	1.3
Lesotho	3095	0.1	0.1
Wallis and Futuna	2849	0.1	20.5
Kiribati	3153	0.1	2.6
Micronesia	2756	0.1	2.6
Nauru	3178	0.1	21.1
Falkland Islands	1975	0.1	62.1
Marshall Islands	3284	0.1	3.2
Montserrat	1351	0.1	25.9
Saint Pierre and Miquelon	972	0.1	17.1
Vatican City	800	0.1	100
Saint Helena	590	0.1	14.3
Niue	557	0.1	37.1
Tokelau	487	0.1	25.4
Tuvalu	141	0.1	1.6
